"grid_id","consumption","max","mean","min","new1","new_month","day"
1001,0.125916666666667,16,13,10,"2009-09-01","Sep-9","01"
1524,0.269458333333333,16,13,10,"2009-09-01","Sep-9","01"
1821,0.118958333333333,16,13,10,"2009-09-01","Sep-9","01"
1000,0.0563958333333333,14,12,9,"2009-09-02","Sep-9","02"
1001,0.125416666666667,14,12,9,"2009-09-02","Sep-9","02"
1524,0.879541666666667,14,12,9,"2009-09-02","Sep-9","02"
1821,0.113,14,12,9,"2009-09-02","Sep-9","02"
1000,0.0477708333333333,15,12,9,"2009-09-03","Sep-9","03"
1001,0.131979166666667,15,12,9,"2009-09-03","Sep-9","03"
1524,0.1373125,15,12,9,"2009-09-03","Sep-9","03"
1821,0.124895833333333,15,12,9,"2009-09-03","Sep-9","03"
1000,0.0445,16,12,7,"2009-09-04","Sep-9","04"
1001,0.123479166666667,16,12,7,"2009-09-04","Sep-9","04"
1524,0.225666666666667,16,12,7,"2009-09-04","Sep-9","04"
1821,0.0163125,16,12,7,"2009-09-04","Sep-9","04"
1000,0.0460416666666667,16,12,9,"2009-09-05","Sep-9","05"
1001,0.133333333333333,16,12,9,"2009-09-05","Sep-9","05"
1524,0.0368125,16,12,9,"2009-09-05","Sep-9","05"
1821,0.0190625,16,12,9,"2009-09-05","Sep-9","05"
1000,0.04775,17,14,12,"2009-09-06","Sep-9","06"
1001,0.118354166666667,17,14,12,"2009-09-06","Sep-9","06"
1524,0.0214583333333333,17,14,12,"2009-09-06","Sep-9","06"
1821,0.00995833333333333,17,14,12,"2009-09-06","Sep-9","06"
1000,0.0475833333333333,17,14,12,"2009-09-07","Sep-9","07"
1001,0.125333333333333,17,14,12,"2009-09-07","Sep-9","07"
1524,0.1324375,17,14,12,"2009-09-07","Sep-9","07"
1821,0.117416666666667,17,14,12,"2009-09-07","Sep-9","07"
1000,0.0477916666666667,18,14,11,"2009-09-08","Sep-9","08"
1001,0.123541666666667,18,14,11,"2009-09-08","Sep-9","08"
1524,0.475375,18,14,11,"2009-09-08","Sep-9","08"
1821,0.119958333333333,18,14,11,"2009-09-08","Sep-9","08"
1000,0.0492708333333333,17,12,6,"2009-09-09","Sep-9","09"
1001,0.124770833333333,17,12,6,"2009-09-09","Sep-9","09"
1524,0.437229166666667,17,12,6,"2009-09-09","Sep-9","09"
1821,0.131520833333333,17,12,6,"2009-09-09","Sep-9","09"
1000,0.294083333333333,17,10,4,"2009-09-10","Sep-9","10"
1001,0.121625,17,10,4,"2009-09-10","Sep-9","10"
1524,0.11925,17,10,4,"2009-09-10","Sep-9","10"
1821,0.100979166666667,17,10,4,"2009-09-10","Sep-9","10"
1000,0.138916666666667,16,10,3,"2009-09-11","Sep-9","11"
1001,0.1276875,16,10,3,"2009-09-11","Sep-9","11"
1524,0.436791666666667,16,10,3,"2009-09-11","Sep-9","11"
1821,0.020375,16,10,3,"2009-09-11","Sep-9","11"
1000,0.1860625,18,10,3,"2009-09-12","Sep-9","12"
1001,0.127458333333333,18,10,3,"2009-09-12","Sep-9","12"
1524,0.0493333333333333,18,10,3,"2009-09-12","Sep-9","12"
1821,0.021625,18,10,3,"2009-09-12","Sep-9","12"
1000,0.349354166666667,17,10,2,"2009-09-13","Sep-9","13"
1001,0.12875,17,10,2,"2009-09-13","Sep-9","13"
1524,0.0231458333333333,17,10,2,"2009-09-13","Sep-9","13"
1821,0.00891666666666667,17,10,2,"2009-09-13","Sep-9","13"
1000,0.228041666666667,16,12,8,"2009-09-14","Sep-9","14"
1001,0.124729166666667,16,12,8,"2009-09-14","Sep-9","14"
1524,0.127291666666667,16,12,8,"2009-09-14","Sep-9","14"
1821,0.137020833333333,16,12,8,"2009-09-14","Sep-9","14"
1000,0.254791666666667,15,10,6,"2009-09-15","Sep-9","15"
1001,0.135083333333333,15,10,6,"2009-09-15","Sep-9","15"
1524,0.525291666666667,15,10,6,"2009-09-15","Sep-9","15"
1821,0.1476875,15,10,6,"2009-09-15","Sep-9","15"
1000,0.0723333333333333,15,12,8,"2009-09-16","Sep-9","16"
1001,0.121645833333333,15,12,8,"2009-09-16","Sep-9","16"
1524,0.153125,15,12,8,"2009-09-16","Sep-9","16"
1821,0.166458333333333,15,12,8,"2009-09-16","Sep-9","16"
1000,0.292270833333333,13,10,8,"2009-09-17","Sep-9","17"
1001,0.128083333333333,13,10,8,"2009-09-17","Sep-9","17"
1524,0.370020833333333,13,10,8,"2009-09-17","Sep-9","17"
1821,0.123645833333333,13,10,8,"2009-09-17","Sep-9","17"
1000,0.158645833333333,14,9,4,"2009-09-18","Sep-9","18"
1001,0.130270833333333,14,9,4,"2009-09-18","Sep-9","18"
1524,0.2500625,14,9,4,"2009-09-18","Sep-9","18"
1821,0.0128541666666667,14,9,4,"2009-09-18","Sep-9","18"
1000,0.284083333333333,15,10,5,"2009-09-19","Sep-9","19"
1001,0.125645833333333,15,10,5,"2009-09-19","Sep-9","19"
1524,0.0793333333333333,15,10,5,"2009-09-19","Sep-9","19"
1821,0.0206041666666667,15,10,5,"2009-09-19","Sep-9","19"
1000,0.0723958333333333,15,9,3,"2009-09-20","Sep-9","20"
1001,0.124583333333333,15,9,3,"2009-09-20","Sep-9","20"
1524,0.018375,15,9,3,"2009-09-20","Sep-9","20"
1821,0.01575,15,9,3,"2009-09-20","Sep-9","20"
1000,0.490958333333333,18,14,11,"2009-09-21","Sep-9","21"
1001,0.1345625,18,14,11,"2009-09-21","Sep-9","21"
1524,0.653479166666667,18,14,11,"2009-09-21","Sep-9","21"
1821,0.119125,18,14,11,"2009-09-21","Sep-9","21"
1000,0.353291666666667,16,14,12,"2009-09-22","Sep-9","22"
1001,0.13175,16,14,12,"2009-09-22","Sep-9","22"
1524,0.383270833333333,16,14,12,"2009-09-22","Sep-9","22"
1821,0.122104166666667,16,14,12,"2009-09-22","Sep-9","22"
1000,0.0925208333333333,16,13,10,"2009-09-23","Sep-9","23"
1001,0.150375,16,13,10,"2009-09-23","Sep-9","23"
1524,0.192458333333333,16,13,10,"2009-09-23","Sep-9","23"
1821,0.125291666666667,16,13,10,"2009-09-23","Sep-9","23"
1000,0.0469791666666667,16,12,8,"2009-09-24","Sep-9","24"
1001,0.123895833333333,16,12,8,"2009-09-24","Sep-9","24"
1524,0.0975416666666667,16,12,8,"2009-09-24","Sep-9","24"
1821,0.116875,16,12,8,"2009-09-24","Sep-9","24"
1000,0.163125,17,14,10,"2009-09-25","Sep-9","25"
1001,0.132145833333333,17,14,10,"2009-09-25","Sep-9","25"
1524,0.200104166666667,17,14,10,"2009-09-25","Sep-9","25"
1821,0.0224791666666667,17,14,10,"2009-09-25","Sep-9","25"
1000,0.366208333333333,17,14,11,"2009-09-26","Sep-9","26"
1001,0.132520833333333,17,14,11,"2009-09-26","Sep-9","26"
1524,0.0745208333333333,17,14,11,"2009-09-26","Sep-9","26"
1821,0.0264166666666667,17,14,11,"2009-09-26","Sep-9","26"
1000,0.4133125,17,14,12,"2009-09-27","Sep-9","27"
1001,0.1194375,17,14,12,"2009-09-27","Sep-9","27"
1524,0.0204583333333333,17,14,12,"2009-09-27","Sep-9","27"
1821,0.0093125,17,14,12,"2009-09-27","Sep-9","27"
1000,0.30325,17,15,13,"2009-09-28","Sep-9","28"
1001,0.1309375,17,15,13,"2009-09-28","Sep-9","28"
1524,0.335270833333333,17,15,13,"2009-09-28","Sep-9","28"
1821,0.0908958333333333,17,15,13,"2009-09-28","Sep-9","28"
1000,0.327166666666667,16,14,12,"2009-09-29","Sep-9","29"
1001,0.132791666666667,16,14,12,"2009-09-29","Sep-9","29"
1524,0.664875,16,14,12,"2009-09-29","Sep-9","29"
1821,0.1404375,16,14,12,"2009-09-29","Sep-9","29"
1000,0.289125,18,15,12,"2009-09-30","Sep-9","30"
1001,0.116291666666667,18,15,12,"2009-09-30","Sep-9","30"
1524,0.132333333333333,18,15,12,"2009-09-30","Sep-9","30"
1821,0.113,18,15,12,"2009-09-30","Sep-9","30"
1000,0.1789375,13,10,6,"2009-10-01","Oct-9","01"
1001,0.137354166666667,13,10,6,"2009-10-01","Oct-9","01"
1524,0.417979166666667,13,10,6,"2009-10-01","Oct-9","01"
1821,0.108229166666667,13,10,6,"2009-10-01","Oct-9","01"
1000,0.423854166666667,16,12,8,"2009-10-02","Oct-9","02"
1001,0.135333333333333,16,12,8,"2009-10-02","Oct-9","02"
1524,0.176541666666667,16,12,8,"2009-10-02","Oct-9","02"
1821,0.0128541666666667,16,12,8,"2009-10-02","Oct-9","02"
1000,0.1569375,13,10,8,"2009-10-03","Oct-9","03"
1001,0.128645833333333,13,10,8,"2009-10-03","Oct-9","03"
1524,0.0976666666666667,13,10,8,"2009-10-03","Oct-9","03"
1821,0.0196458333333333,13,10,8,"2009-10-03","Oct-9","03"
1000,0.281604166666667,13,9,5,"2009-10-04","Oct-9","04"
1001,0.125166666666667,13,9,5,"2009-10-04","Oct-9","04"
1524,0.0185833333333333,13,9,5,"2009-10-04","Oct-9","04"
1821,0.0122291666666667,13,9,5,"2009-10-04","Oct-9","04"
1000,0.256104166666667,15,10,4,"2009-10-05","Oct-9","05"
1001,0.125791666666667,15,10,4,"2009-10-05","Oct-9","05"
1524,0.7225625,15,10,4,"2009-10-05","Oct-9","05"
1821,0.153458333333333,15,10,4,"2009-10-05","Oct-9","05"
1000,0.167,12,8,3,"2009-10-06","Oct-9","06"
1001,0.128541666666667,12,8,3,"2009-10-06","Oct-9","06"
1524,0.333770833333333,12,8,3,"2009-10-06","Oct-9","06"
1821,0.112645833333333,12,8,3,"2009-10-06","Oct-9","06"
1000,0.151833333333333,12,6,1,"2009-10-07","Oct-9","07"
1001,0.134520833333333,12,6,1,"2009-10-07","Oct-9","07"
1524,0.498354166666667,12,6,1,"2009-10-07","Oct-9","07"
1821,0.173875,12,6,1,"2009-10-07","Oct-9","07"
1000,0.216020833333333,13,8,3,"2009-10-08","Oct-9","08"
1001,0.132458333333333,13,8,3,"2009-10-08","Oct-9","08"
1524,0.517979166666667,13,8,3,"2009-10-08","Oct-9","08"
1821,0.107041666666667,13,8,3,"2009-10-08","Oct-9","08"
1000,0.200666666666667,13,8,4,"2009-10-09","Oct-9","09"
1001,0.1339375,13,8,4,"2009-10-09","Oct-9","09"
1524,0.298104166666667,13,8,4,"2009-10-09","Oct-9","09"
1821,0.0143333333333333,13,8,4,"2009-10-09","Oct-9","09"
1000,0.421104166666667,14,12,10,"2009-10-10","Oct-9","10"
1001,0.133416666666667,14,12,10,"2009-10-10","Oct-9","10"
1524,0.133145833333333,14,12,10,"2009-10-10","Oct-9","10"
1821,0.0170208333333333,14,12,10,"2009-10-10","Oct-9","10"
1000,0.180291666666667,14,10,7,"2009-10-11","Oct-9","11"
1001,0.131666666666667,14,10,7,"2009-10-11","Oct-9","11"
1524,0.0195833333333333,14,10,7,"2009-10-11","Oct-9","11"
1821,0.00945833333333333,14,10,7,"2009-10-11","Oct-9","11"
1000,0.27025,15,9,3,"2009-10-12","Oct-9","12"
1001,0.132770833333333,15,9,3,"2009-10-12","Oct-9","12"
1524,0.126583333333333,15,9,3,"2009-10-12","Oct-9","12"
1821,0.104104166666667,15,9,3,"2009-10-12","Oct-9","12"
1000,0.141145833333333,15,10,4,"2009-10-13","Oct-9","13"
